frameTime,meanFrameTumorCells,sdFrameTumorCells,meanNecrotic,sdNecrotic,meanQuiescent,sdQuiescent,meanProliferative2,sdProliferative2,meanHypoxic,sdHypoxic,meanApoptotic,sdApoptotic,meanProliferative1,sdProliferative1,meanNormoxic,sdNormoxic,meanMigrate,sdMigrate,meanKilled,sdKilled
219,83.8,10.6124,3.6,1.26491,54.8,9.53124,8.4,2.41293,0.5,1.08012,0.5,0.707107,16,4.89898,499.2,7.68548,0,0,0,0
220,84.8,11.1235,4.1,1.19722,55.3,9.0805,8.1,2.33095,0.4,0.966092,0.4,0.516398,16.5,5.14782,498.7,8.08359,0,0,0,0
221,85.7,10.6254,4.5,1.77951,54.8,8.85438,8.5,3.62859,0,0,0.4,0.516398,17.5,5.94886,498.2,7.99722,0,0,0,0
222,86.5,10.7212,4.5,1.77951,55.5,9.70967,8.8,3.25918,0.2,0.421637,0.4,0.516398,17.1,5.25885,497.8,8.09389,0,0,0,0
223,87.2,10.6646,4.7,1.56702,57,9.18937,9,3.52767,0.1,0.316228,0.3,0.483046,16.1,4.5326,497.5,7.82091,0,0,0,0
224,88.6,10.5536,4.8,1.61933,57.1,9.52715,8.6,3.09839,0,0,0.4,0.516398,17.7,4.21769,496.6,7.7057,0,0,0,0
225,89.5,10.7729,4.8,1.61933,57.9,10.7336,8.5,3.43996,0.1,0.316228,0.3,0.483046,17.9,4.58136,495.4,7.89092,0,0,0,0
226,90.4,10.6792,4.9,1.72884,60.3,10.5835,8,3.01846,0.4,0.966092,0.2,0.421637,16.6,3.77712,494.5,8.08634,0,0,0,0
227,91,10.3923,5.3,1.70294,60.1,9837,8,3.05505,0.6,0.699206,0.2,0.421637,16.8,4.02216,493.9,8.30596,0,0,0,0
228,91.7,10.2421,5.9,1.52388,59.8,10.0532,8.5,3.47211,0.6,0.843274,0.1,0.316228,16.8,4.82586,493.4,8.52708,0,0,0,0
229,92.5,10.5961,6.5,1.58114,61.3,11.4022,8.4,3.30656,0,0,0.1,0.316228,16.2,4.6619,492.8,9.01604,0,0,0,0
230,93.8,10.7889,6.5,1.58114,61.3,10144,8.4,3.33999,0.5,0.707107,0.2,0.421637,16.9,7.18718,492.3,9.15363,0,0,0,0
231,94.9,10.5877,7,1.82574,61.5,9.68676,8.4,3.27278,0.3,0.483046,0.3,0.483046,17.4,6.3456,491.9,8.82484,0,0,0,0
232,95.9,10.8059,7.3,1.82878,61.9,9.0854,8.1,3.3483,0.5,0.527046,0.3,0.483046,17.8,6.87669,490.8,8.62554,0,0,0,0
233,96.8,11.2329,7.8,1.98886,63.1,8.33267,7.9,2.99815,0.6,0.699206,0.4,0.516398,17,6.03692,490.1,8.72353,0,0,0,0
234,97.6,11.7776,8.4,2.17051,63.9,8.73626,8.1,3.60401,0.2,0.421637,0.4,0.516398,16.6,6.65332,489,7.97217,0,0,0,0
235,98.1,11.8458,8.6,2.17051,64.6,9.24001,8.5,3.37474,0.3,0.948683,0.4,0.516398,15.7,6.03784,488.3,8.39378,0,0,0,0
